Real,Regressão Linear,Random Forest,Gradient Boosting,XGBoost,Erro Percentual Reg. Linear,Erro Percentual RF,Erro Percentual GB,Erro Percentual XGB
3190.0,2180.3125,2271.25,2379.4945507942716,2527.684,0.3165164576802508,0.28800940438871475,0.2540769433246797,0.20762254481778997
4380.0,2578.5625,4127.09,2965.3576338819316,3132.929,0.411287100456621,0.05774200913242006,0.32297770915937635,0.2847194166488299
2325.0,3569.3125,3934.92,3706.630670966427,2880.852,0.5351881720430107,0.6924387096774194,0.5942497509533019,0.2390761508736559
1297.0,-65.4375,1767.41,1148.0699835480511,959.0774,1.050452968388589,0.3626908249807248,0.11482653542941315,0.26054171736459136
7253.0,7191.5625,6949.61,6172.040912867105,5696.262,0.008470632841582794,0.04182958775679034,0.14903613499695226,0.2146336402824693
2384.0,1968.0625,1894.62,1860.5217652336978,2988.6067,0.17447042785234898,0.20527684563758394,0.21957979646237508,0.25361018852899536
2116.0,1385.8125,1636.85,1218.6674876848283,591.5585,0.34507915879017015,0.22644139886578454,0.4240701854041454,0.7204355048772744
585.0,985.5625,1382.65,1101.9281743009692,1379.3436,0.6847222222222222,1.3635042735042737,0.8836379047879815,1.3578523554353632
3577.0,3071.8125,2329.22,3285.0399543111907,1503.441,0.1412321778026279,0.3488342186189545,0.08162148327895143,0.5796921889742627
8613.0,5529.5625,5576.17,6115.83520971901,6079.7812,0.35799808429118773,0.3525867874143736,0.28992973299442587,0.2941157262277952
484.0,-140.9375,1218.76,724.3641434742962,1431.3726,1.2911931818181819,1.518099173553719,0.49662013114524,1.9573813194085743
3965.0,4916.0625,4165.56,3677.746651657177,2379.8633,0.23986443883984868,0.05058259773013882,0.07244725052782418,0.3997822745901639
1376.0,1880.0625,1838.32,1575.0216196625927,1315.9784,0.36632449127906974,0.33598837209302324,0.14463780498734932,0.04362035352130269
7297.0,8034.3125,6694.71,6759.918475791186,6686.47,0.10104323694669042,0.08253939975332328,0.07360305936807096,0.0836686015014732
6288.0,8151.5625,5826.15,5049.241761549915,4248.615,0.2963680820610687,0.07344942748091608,0.1970035366491865,0.32432963829914124
4153.0,3756.5625,4138.61,3837.467988364828,3985.8,0.09545810257645077,0.0034649650854804543,0.07597688698174133,0.040260041216439925
3368.0,3922.6875,3040.64,3952.1487533912004,2815.8875,0.16469343824228028,0.0971971496437055,0.17344084126817116,0.1639289040463554
1098.0,919.5625,1838.72,1001.75879417673,555.6398,0.16251138433515483,0.6746083788706739,0.08765137142374316,0.49395285017503415
2124.0,965.5625,1590.375,1571.640153186126,1570.5181,0.5454037193973634,0.2512358757062147,0.2600564250536129,0.2605847144979991
3643.0,2944.0625,3279.92,3012.8206149512444,1623.9656,0.19185767224814712,0.09966511117211088,0.17298363575315828,0.5542230095602868
8858.0,9977.3125,8857.11,9817.499577473336,8144.95,0.12636176337773763,0.00010047414766306366,0.10832011486490586,0.08049783299700836
3414.0,4193.3125,4768.58,3891.1574910113236,4174.82,0.22826962507322787,0.39677211482132396,0.1397649358556894,0.22285290691820445
6070.0,2755.5625,3050.55,2716.537097399289,3302.6426,0.5460358319604612,0.49743822075782534,0.5524650580890792,0.4559073182660626
1503.0,1191.5625,1499.88,1639.032987902171,1449.4279,0.20721057884231536,0.002075848303393141,0.09050764331481773,0.03564347541895376
3074.0,2819.5625,2255.0,2843.132375648707,2844.9438,0.08277081977878985,0.2664281067013663,0.07510332607394053,0.07451403784767405
1823.0,3466.8125,4110.67,3913.96778367553,2211.519,0.901707350521119,1.2548930334613275,1.146992750233423,0.21312070376782777
2323.0,4622.0625,3768.4,4124.008901446091,3607.6492,0.9896954369349978,0.6222126560482135,0.775294404410715,0.5530129874825118
6289.0,6545.5625,7598.81,6060.379473351684,7714.8643,0.040795436476387344,0.20826999522976633,0.036352445006887536,0.2267235264449833
10477.0,7198.5625,8277.8,7970.112951743727,8557.071,0.3129175813687124,0.2099074162451084,0.23927527424417996,0.18325176204423976
2859.0,3710.5625,2115.32,2672.4520034070865,2903.7695,0.29785327037425674,0.2601189227002448,0.06524938670616072,0.01565915748513466
882.0,855.8125,1386.37,1483.5117748473817,1497.8846,0.029691043083900227,0.5718480725623581,0.6819861392827458,0.6982819087921627
1881.0,2091.5625,1692.95,1693.464618029913,2020.6129,0.11194178628389155,0.099973418394471,0.09969983092508611,0.07422270868637028
1530.0,2707.0625,2771.05,2632.376890634422,2723.1675,0.7693218954248366,0.8111437908496734,0.720507771656485,0.7798480264501634
1323.0,950.0625,1562.62,1030.9949687007374,1933.9803,0.28188775510204084,0.18111866969009818,0.22071430937208053,0.4618143209974962
3079.0,4325.5625,2667.84,3508.2080954353123,1987.0637,0.4048595323156869,0.13353686261773298,0.1393985370039988,0.3546399088330221
2760.0,4691.5625,3810.78,5301.202861619381,5207.6445,0.6998414855072463,0.3807173913043479,0.9207256744997757,0.8868277287137681
2862.0,4962.8125,4622.63,4621.610932698085,4684.7397,0.7340365129280224,0.6151747030048917,0.6148186347652288,0.636876221556167
2133.0,3004.0625,2170.52,3238.7610986722025,4016.5857,0.40837435536802624,0.017590248476324417,0.5184065160207232,0.8830687732580286
3485.0,4590.3125,4897.47,4154.388376179069,4530.975,0.3171628407460545,0.4052998565279771,0.1920770089466483,0.3001363264436872
6229.0,5517.5625,6731.29,5835.132681923001,5679.709,0.11421375822764489,0.08063734146733022,0.06323122781778764,0.08818285689918125
4473.0,3176.8125,3836.64,3596.4685689194716,3073.431,0.289780348759222,0.1422669349429913,0.19596052561603586,0.31289270999259444
2012.0,1161.5625,1048.06,1284.459095106861,1056.3033,0.4226826540755467,0.4790954274353877,0.3616008473623951,0.4749983376110524
3749.0,2914.0625,3699.71,3072.144112025813,3583.3289,0.22270938917044544,0.013147506001600417,0.18054304827265596,0.04419075555564817
2831.0,3356.5625,3441.39,3261.347398118933,3990.9526,0.18564553161427058,0.21560932532673963,0.15201250375094777,0.4097324749977923
2745.0,4030.5625,3884.45,3618.3134723769135,3551.0232,0.4683287795992714,0.4151001821493624,0.3181469844724639,0.29363322162454464
1262.0,3102.5625,3606.15,2561.7144862074556,3582.9058,1.4584488906497624,1.857488114104596,1.029884695885464,1.83906954177397
6872.0,4678.6875,4742.43,3831.276760985508,4487.7354,0.3191665454016298,0.3098908614668218,0.44248009880886086,0.3469535285852008
918.0,521.5625,1493.32,780.6731114399427,1741.3528,0.431849128540305,0.626710239651416,0.1495935605229383,0.8968984566482843
609.0,-1258.9375,1293.84,7.84660050091496,908.52765,3.067220853858785,1.1245320197044333,0.9871155985206651,0.49183521991097084
601.0,1649.0625,2603.3,2284.7688269343025,1831.491,1.7438643926788686,3.331613976705491,2.801612024849089,2.0474059347701745
3234.0,2451.5625,2468.155,2103.797860213753,2173.7627,0.24194109461966604,0.23681045145330853,0.3494749968417584,0.3278408486974335
6742.0,5341.0625,5912.59,5590.969081242648,6681.344,0.20779256897063186,0.12302135864728565,0.17072544033778583,0.00899670153051765
1603.0,1570.0625,1786.13,1575.7675765646268,1512.813,0.020547411104179663,0.1142420461634436,0.016988411375778677,0.05626139221381784
2820.0,4734.5625,3328.18,4054.6626519387974,3908.6628,0.6789228723404256,0.1802056737588652,0.4378236354392898,0.38605065311945924
1804.0,2527.0625,2686.97,3217.5561281466257,3191.992,0.4008106984478936,0.489451219512195,0.7835676985291717,0.7693968643898974
1913.0,2043.5625,3000.89,2393.4193473429823,2917.8506,0.06825013068478829,0.5686826973340302,0.25113400279298603,0.5252747443478829
3676.0,2465.0625,2220.72,3502.604428264795,3055.7102,0.32941716539717086,0.39588683351468995,0.04716963322502858,0.1687404229928931
1295.0,2362.5625,1741.26,1556.0873906845327,1722.519,0.8243725868725869,0.3446023166023166,0.20161188469848085,0.3301305351110039
1200.0,1180.5625,1231.19,1547.2241105517203,1479.6128,0.016197916666666666,0.02599166666666671,0.2893534254597669,0.23301066080729166
1101.0,1628.0625,1804.08,1500.9009587763953,1141.1152,0.4787125340599455,0.6385831062670299,0.36321612967883316,0.03643527191189828
4675.0,4209.5625,3854.72,3669.579569651608,7689.847,0.09955882352941177,0.17546096256684496,0.21506319365741006,0.6448870947526738
2225.0,5822.0625,7447.2,6330.348852203332,6941.6343,1.6166573033707865,2.3470561797752807,1.8451006077318346,2.119835630266854
6350.0,3327.5625,2988.47,2648.6555048183377,2397.7185,0.4759744094488189,0.5293748031496063,0.5828888968790019,0.6224065345103347
1413.0,3124.5625,2650.5,2511.2099891233074,2182.2007,1.2112968860580327,0.8757961783439491,0.7772186759542161,0.5443741568250177
1275.0,-381.4375,1437.75,921.3167674059496,1441.5297,1.2991666666666666,0.12764705882352942,0.27739861379925523,0.13061150045955883
2896.0,4440.5625,4479.4,3968.1722427397413,4553.0117,0.5333434046961326,0.5467541436464087,0.3702252219405184,0.5721725548169889
2241.0,2007.5625,2579.015,1772.9705224273348,2129.2314,0.10416666666666667,0.15083221775992856,0.20884849512390236,0.049874410837795626
2389.0,1535.0625,2364.4,1841.7736704102017,2500.4585,0.357445583926329,0.010297195479279996,0.229060832812808,0.04665487488227292
8133.0,6585.5625,7236.16,7278.419254298886,6468.462,0.19026650682405016,0.11027173244805116,0.10507570954151164,0.20466470993944424
2864.0,2266.8125,3204.57,2097.512664109852,2022.5018,0.20851518854748605,0.11891410614525146,0.2676282597381802,0.2938191930674974
6078.0,3221.5625,1649.77,2379.38572579779,1843.0184,0.4699633925633432,0.728566962816716,0.6085248888124728,0.6967722223400481
368.0,404.1875,827.27,1008.9162650463783,589.68884,0.09833559782608696,1.248016304347826,1.7416202854521148,0.6024153336234714
385.0,765.0625,1195.56,818.1710055383373,387.4821,0.9871753246753247,2.1053506493506493,1.1251194949047723,0.006446977095170454
1048.0,183.0625,1868.39,1367.9551926907575,1557.2489,0.8253220419847328,0.7828148854961833,0.3053007563843106,0.4859245242053316
6419.0,5933.5625,6626.18,7453.254263839226,7292.892,0.07562509736719115,0.03227605546035212,0.1611238921699994,0.1361414690518383
1024.0,1879.0625,2007.18,2217.9853859546715,1784.978,0.83502197265625,0.9601367187500001,1.166001353471359,0.7431426048278809
2303.0,2773.0625,2255.61,2349.983327207546,2274.4907,0.20410877116804169,0.02057750759878414,0.020400923668061725,0.012379191204407294
458.0,313.5625,1335.98,1275.5838785206136,904.2146,0.31536572052401746,1.9169868995633188,1.785117638691296,0.9742676847366266
2246.0,1619.0625,1779.69,1686.07383319588,1073.705,0.27913512911843275,0.20761798753339267,0.24929927284243986,0.5219479269569512
727.0,1083.5625,1231.21,1350.189716436948,655.0201,0.4904573590096286,0.6935488308115544,0.8572073128431196,0.0990095177903628
1453.0,1894.5625,2346.8,1981.7473905534719,2915.637,0.3038971094287681,0.6151410874053683,0.36390047526047614,1.0066324589749656
2171.0,2029.5625,2023.15,1719.3389316304551,2512.072,0.06514854905573468,0.06810225702441267,0.208042868894309,0.1571036487721672
2697.0,2366.5625,2185.25,2658.348818235394,1776.0161,0.12252039302929181,0.18974786800148313,0.014331176034336673,0.3414845705297553
1007.0,416.0625,1132.21,898.8172022594024,1337.0083,0.5868296921549155,0.12433962264150947,0.1074307822647444,0.3277143006765144
701.0,1109.0625,1281.16,1279.5622759244307,1240.379,0.5821148359486448,0.827617689015692,0.8253384820605287,0.7694422657921719
626.0,-883.9375,1244.23,692.7171649463148,1065.2021,2.412040734824281,0.9875878594249201,0.10657694080880963,0.7016008760982428
1845.0,6055.3125,6172.86,7628.086585580971,8891.564,2.2820121951219514,2.345723577235772,3.1344642740276263,3.8192761263550135
14027.0,10299.0625,10166.32,10740.61795204981,11470.538,0.26576869608611964,0.275232052470236,0.2342897303735788,0.18225293463053396
5771.0,2926.5625,3717.8,2545.6820718946283,2919.6003,0.4928846820308439,0.3557788944723618,0.5588837165318613,0.494091086155454
1525.0,2610.0625,1901.83,1960.6832359121133,1290.4785,0.711516393442623,0.24710163934426224,0.285693925188271,0.1537845799180328
1283.0,2561.4375,1739.91,1953.444911301065,1557.8116,0.9964438815276695,0.35612626656274365,0.5225603361660679,0.21419457950725837
518.0,108.6875,1199.21,826.9227763684971,1222.6322,0.7901785714285714,1.31507722007722,0.5963760161553998,1.360293826541385
7119.0,7622.0625,5091.09,5603.064042897598,5429.268,0.07066477033291192,0.28485882848714705,0.21294226114656586,0.2373552371953575
3021.0,4007.5625,2785.56,3019.62961531099,2064.0312,0.32656818934127774,0.07793445878848065,0.0004536195594206636,0.31677217808672625
2751.0,7200.5625,6907.76,6776.683465299061,6027.52,1.6174345692475462,1.5109996364958198,1.463352768193043,1.1910287239299346
660.0,994.5625,2102.82,1417.627778051257,266.804,0.5069128787878788,2.1860909090909093,1.147920875835238,0.5957515369762074
2463.0,2447.5625,1791.77,1956.7238217111799,1516.625,0.0062677628907835976,0.2725253755582623,0.20555265054357294,0.38423670320747055
2249.0,3097.5625,2989.65,3622.6854598603577,3182.3481,0.3773065807025345,0.3293241440640285,0.610798336976593,0.415005844611494
14421.0,8645.5625,10959.59,10403.959738950147,16086.708,0.40048800360585257,0.24002565702794534,0.2785549033388706,0.11550572136554331
3966.0,3801.5625,2968.68,3728.818032102915,1565.6561,0.04146180030257186,0.25146747352496224,0.059803824482371426,0.6052304266440526
3077.0,4866.5625,4893.01,4977.730341901237,4140.936,0.5815932726681833,0.5901884952876179,0.6177219180699502,0.3457705671616022
959.0,3303.5625,2376.73,2683.660812212702,2678.6902,2.4447992700729926,1.478342022940563,1.7983950075210655,1.7932118723116528
745.0,-460.1875,1825.97,623.3791360089298,723.64,1.6177013422818791,1.4509664429530202,0.16324948186720836,0.0286711212772651
2684.0,2215.3125,1904.94,1940.3597424817913,1575.4827,0.17462276453055142,0.29026080476900146,0.27706417940320743,0.4130094388913469
